ts,event,job_id,queue_len_after,note
2025-11-17 16:37:20,enqueue,job-9d14c24a1c97,1,"SJF g=4, T_est=1103.60s, batch=128"
2025-11-17 16:37:20,dequeue_start,job-9d14c24a1c97,0,"SJF g=4, cluster=clusterA, T_est=1103.60s"
2025-11-17 16:40:37,enqueue,job-55fde7b0aa75,1,"SJF g=2, T_est=1945.60s, batch=128"
2025-11-17 16:40:38,dequeue_start,job-55fde7b0aa75,0,"SJF g=2, cluster=clusterB, T_est=1945.60s"
2025-11-17 16:45:38,enqueue,job-f91466348c41,1,"SJF g=2, T_est=2868.80s, batch=64"
2025-11-17 16:45:39,dequeue_start,job-f91466348c41,0,"SJF g=2, cluster=clusterA, T_est=2868.80s"
2025-11-17 16:49:27,enqueue,job-cd5c9105b50b,1,"SJF g=1, T_est=1060.00s, batch=32"
2025-11-17 16:49:27,dequeue_start,job-cd5c9105b50b,0,"SJF g=1, cluster=clusterA, T_est=1060.00s"
2025-11-17 16:49:27,enqueue,job-f833125bc1a0,1,"SJF g=2, T_est=5652.00s, batch=64"
2025-11-17 16:49:28,dequeue_start,job-f833125bc1a0,0,"SJF g=2, cluster=clusterB, T_est=5652.00s"
2025-11-17 16:55:11,enqueue,job-57503ba1df14,1,"SJF g=4, T_est=1932.00s, batch=32"
2025-11-17 16:58:47,enqueue,job-b64dd4e6a45e,2,"SJF g=2, T_est=4036.20s, batch=64"
2025-11-17 17:00:13,enqueue,job-b252b1c38e42,3,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-17 17:00:14,dequeue_start,job-b252b1c38e42,2,"SJF g=1, cluster=clusterA, T_est=4072.20s"
2025-11-17 17:01:46,enqueue,job-70df46cef7b4,3,"SJF g=4, T_est=6158.40s, batch=32"
2025-11-17 17:03:16,dequeue_start,job-b64dd4e6a45e,2,"SJF g=2, cluster=clusterB, T_est=4036.20s"
2025-11-17 17:11:16,enqueue,job-2415658db4bc,3,"SJF g=2, T_est=2868.80s, batch=16"
2025-11-17 17:12:49,enqueue,job-834327021acc,4,"SJF g=1, T_est=2303.80s, batch=16"
2025-11-17 17:13:43,enqueue,job-6a8b24fc5814,5,"SJF g=1, T_est=2303.80s, batch=16"
2025-11-17 17:15:46,dequeue_start,job-834327021acc,4,"SJF g=1, cluster=clusterA, T_est=2303.80s"
2025-11-17 17:24:29,enqueue,job-ceaf63924588,5,"SJF g=2, T_est=4036.20s, batch=128"
2025-11-17 17:31:03,enqueue,job-8e92c81d531e,6,"SJF g=4, T_est=1103.60s, batch=32"
2025-11-17 17:34:00,enqueue,job-3dde4827fe90,7,"SJF g=2, T_est=5652.00s, batch=32"
2025-11-17 17:34:42,enqueue,job-6eed68130859,8,"SJF g=1, T_est=4072.20s, batch=128"
2025-11-17 17:44:05,dequeue_start,job-6a8b24fc5814,7,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-17 17:44:05,dequeue_start,job-6eed68130859,6,"SJF g=1, cluster=clusterB, T_est=4072.20s"
2025-11-17 17:44:43,dequeue_start,job-2415658db4bc,5,"SJF g=2, cluster=clusterB, T_est=2868.80s"
2025-11-17 17:46:59,enqueue,job-40a51ee16dfb,6,"SJF g=4, T_est=71.20s, batch=8"
2025-11-17 17:47:48,dequeue_start,job-ceaf63924588,5,"SJF g=2, cluster=clusterA, T_est=4036.20s"
2025-11-17 17:48:02,dequeue_start,job-3dde4827fe90,4,"SJF g=2, cluster=clusterA, T_est=5652.00s"
2025-11-17 17:48:38,enqueue,job-855570119ff2,5,"SJF g=1, T_est=5941.80s, batch=32"
2025-11-17 17:56:50,enqueue,job-8877285ce9cd,6,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-17 18:02:46,dequeue_start,job-8877285ce9cd,5,"SJF g=1, cluster=clusterA, T_est=4072.20s"
2025-11-17 18:03:03,enqueue,job-c22d14cd83d8,6,"SJF g=1, T_est=1060.00s, batch=64"
2025-11-17 18:24:41,enqueue,job-607977aaa84b,7,"SJF g=1, T_est=1832.80s, batch=64"
2025-11-17 18:25:30,enqueue,job-fe614fa0324a,8,"SJF g=1, T_est=64.00s, batch=8"
2025-11-17 18:38:07,enqueue,job-d084f1ff00fa,9,"SJF g=1, T_est=2303.80s, batch=32"
2025-11-17 18:39:19,enqueue,job-78eb7ac3f658,10,"SJF g=2, T_est=62.80s, batch=8"
2025-11-17 18:42:13,enqueue,job-384cc1f265a2,11,"SJF g=2, T_est=2868.80s, batch=32"
2025-11-17 18:47:05,enqueue,job-438a84e95366,12,"SJF g=2, T_est=2868.80s, batch=16"
2025-11-17 18:48:37,enqueue,job-5034d7025366,13,"SJF g=2, T_est=62.80s, batch=16"
2025-11-17 18:53:07,dequeue_start,job-fe614fa0324a,12,"SJF g=1, cluster=clusterB, T_est=64.00s"
2025-11-17 18:58:26,dequeue_start,job-c22d14cd83d8,11,"SJF g=1, cluster=clusterB, T_est=1060.00s"
2025-11-17 18:58:34,enqueue,job-c5e79dcf6582,12,"SJF g=2, T_est=62.80s, batch=32"
2025-11-17 18:59:36,enqueue,job-ab956d5fc3d5,13,"SJF g=1, T_est=2303.80s, batch=64"
2025-11-17 19:04:28,dequeue_start,job-607977aaa84b,12,"SJF g=1, cluster=clusterA, T_est=1832.80s"
2025-11-17 19:04:34,enqueue,job-f2f0f1258d9a,13,"SJF g=2, T_est=2868.80s, batch=64"
2025-11-17 19:17:24,dequeue_start,job-d084f1ff00fa,12,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-17 19:23:51,dequeue_start,job-ab956d5fc3d5,11,"SJF g=1, cluster=clusterA, T_est=2303.80s"
2025-11-17 19:27:43,enqueue,job-e04af7a9dc23,12,"SJF g=1, T_est=64.00s, batch=32"
2025-11-17 19:27:52,enqueue,job-5604b0153835,13,"SJF g=1, T_est=1060.00s, batch=128"
2025-11-17 19:29:23,dequeue_start,job-78eb7ac3f658,12,"SJF g=2, cluster=clusterA, T_est=62.80s"
2025-11-17 19:36:01,enqueue,job-889b8f1c3a28,13,"SJF g=4, T_est=71.20s, batch=16"
2025-11-17 19:36:06,dequeue_start,job-5034d7025366,12,"SJF g=2, cluster=clusterA, T_est=62.80s"
2025-11-17 19:37:30,dequeue_start,job-e04af7a9dc23,11,"SJF g=1, cluster=clusterB, T_est=64.00s"
2025-11-17 19:39:48,dequeue_start,job-5604b0153835,10,"SJF g=1, cluster=clusterB, T_est=1060.00s"
2025-11-17 19:39:59,dequeue_start,job-c5e79dcf6582,9,"SJF g=2, cluster=clusterA, T_est=62.80s"
2025-11-17 19:42:26,dequeue_start,job-384cc1f265a2,8,"SJF g=2, cluster=clusterA, T_est=2868.80s"
2025-11-17 19:42:44,dequeue_start,job-855570119ff2,7,"SJF g=1, cluster=clusterA, T_est=5941.80s"
2025-11-17 19:53:40,enqueue,job-60dfa6b026d1,8,"SJF g=2, T_est=2868.80s, batch=16"
2025-11-17 20:02:44,enqueue,job-24893b708d8c,9,"SJF g=1, T_est=5941.80s, batch=16"
2025-11-17 20:02:44,dequeue_start,job-24893b708d8c,8,"SJF g=1, cluster=clusterA, T_est=5941.80s"
2025-11-17 20:09:35,enqueue,job-fb1fad594ba7,9,"SJF g=1, T_est=2303.80s, batch=32"
2025-11-17 20:09:36,dequeue_start,job-fb1fad594ba7,8,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-17 20:14:38,enqueue,job-ca05e749a94b,9,"SJF g=1, T_est=64.00s, batch=16"
2025-11-17 20:15:22,enqueue,job-613a0d9f9200,10,"SJF g=2, T_est=4036.20s, batch=128"
2025-11-17 20:16:16,enqueue,job-53ca9debb5f8,11,"SJF g=1, T_est=5941.80s, batch=16"
2025-11-17 20:16:49,enqueue,job-35b71c91cd2e,12,"SJF g=4, T_est=6158.40s, batch=64"
2025-11-17 20:19:59,dequeue_start,job-ca05e749a94b,11,"SJF g=1, cluster=clusterB, T_est=64.00s"
2025-11-17 20:23:20,dequeue_start,job-53ca9debb5f8,10,"SJF g=1, cluster=clusterB, T_est=5941.80s"
2025-11-17 20:25:01,enqueue,job-ea87fd4a8f07,11,"SJF g=2, T_est=1036.00s, batch=64"
2025-11-17 20:25:10,enqueue,job-080fe5ea9ad4,12,"SJF g=1, T_est=4072.20s, batch=64"
2025-11-17 20:29:46,enqueue,job-26a9b3966a2f,13,"SJF g=4, T_est=71.20s, batch=32"
2025-11-17 20:29:51,enqueue,job-1517093d8fd4,14,"SJF g=2, T_est=2868.80s, batch=64"
2025-11-17 20:29:58,enqueue,job-d9cd69d8b85a,15,"SJF g=1, T_est=64.00s, batch=32"
2025-11-17 20:32:09,dequeue_start,job-d9cd69d8b85a,14,"SJF g=1, cluster=clusterB, T_est=64.00s"
2025-11-17 20:32:10,dequeue_start,job-080fe5ea9ad4,13,"SJF g=1, cluster=clusterB, T_est=4072.20s"
2025-11-17 20:37:23,enqueue,job-f7f8491b60f2,14,"SJF g=2, T_est=2868.80s, batch=32"
2025-11-17 20:53:24,enqueue,job-9d3da016abd3,15,"SJF g=2, T_est=1945.60s, batch=128"
2025-11-17 20:55:15,enqueue,job-68c395e0c7c8,16,"SJF g=1, T_est=2303.80s, batch=64"
2025-11-17 20:55:15,dequeue_start,job-68c395e0c7c8,15,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-17 21:01:46,enqueue,job-c76e735ca3d3,16,"SJF g=1, T_est=5941.80s, batch=64"
2025-11-17 21:02:32,enqueue,job-13f33f48ce7b,17,"SJF g=1, T_est=2303.80s, batch=32"
2025-11-17 21:03:45,dequeue_start,job-13f33f48ce7b,16,"SJF g=1, cluster=clusterB, T_est=2303.80s"
2025-11-17 21:31:14,dequeue_start,job-c76e735ca3d3,15,"SJF g=1, cluster=clusterB, T_est=5941.80s"
2025-11-17 21:44:02,dequeue_start,job-ea87fd4a8f07,14,"SJF g=2, cluster=clusterA, T_est=1036.00s"
2025-11-17 21:55:39,dequeue_start,job-9d3da016abd3,13,"SJF g=2, cluster=clusterB, T_est=1945.60s"
2025-11-17 21:57:17,dequeue_start,job-438a84e95366,12,"SJF g=2, cluster=clusterA, T_est=2868.80s"
2025-11-17 22:19:03,dequeue_start,job-f2f0f1258d9a,11,"SJF g=2, cluster=clusterB, T_est=2868.80s"
2025-11-17 23:20:42,dequeue_start,job-60dfa6b026d1,10,"SJF g=2, cluster=clusterB, T_est=2868.80s"
2025-11-17 23:52:04,dequeue_start,job-1517093d8fd4,9,"SJF g=2, cluster=clusterB, T_est=2868.80s"
2025-11-18 00:01:45,dequeue_start,job-f7f8491b60f2,8,"SJF g=2, cluster=clusterA, T_est=2868.80s"
2025-11-18 00:54:43,dequeue_start,job-613a0d9f9200,7,"SJF g=2, cluster=clusterB, T_est=4036.20s"
2025-11-18 02:09:02,dequeue_start,job-40a51ee16dfb,6,"SJF g=4, cluster=clusterA, T_est=71.20s"
2025-11-18 02:14:01,dequeue_start,job-889b8f1c3a28,5,"SJF g=4, cluster=clusterA, T_est=71.20s"
2025-11-18 02:16:57,dequeue_start,job-26a9b3966a2f,4,"SJF g=4, cluster=clusterA, T_est=71.20s"
2025-11-18 02:18:54,dequeue_start,job-8e92c81d531e,3,"SJF g=4, cluster=clusterA, T_est=1103.60s"
2025-11-18 02:35:23,dequeue_start,job-57503ba1df14,2,"SJF g=4, cluster=clusterA, T_est=1932.00s"
2025-11-18 03:06:34,dequeue_start,job-70df46cef7b4,1,"SJF g=4, cluster=clusterA, T_est=6158.40s"
2025-11-18 03:15:32,dequeue_start,job-35b71c91cd2e,0,"SJF g=4, cluster=clusterB, T_est=6158.40s"
